[0.0s - 30.0s]  Субтитры создавал DimaTorzok
[2241.6s - 2248.0s]  И систему, так как у нас переменный больше либо равно нулю,
[2248.2s - 2249.4s]  3, 4, 5, 6,
[2250.4s - 2262.5s]  4, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 26, 27, 28, 29, 30, 31.
[2262.5s - 2263.0s]  Вот она у нас здесь есть.
[2263.0s - 2263.1s]  Она будет выглядеть следующим образом.
[2263.1s - 2264.9s]  Вот она у нас с вами здесь есть.
[2265.2s - 2269.3s]  То есть какая была большая задача и после упрощения перехода,
[2270.7s - 2273.1s]  вот после того, как мы ее привели к стандартному виду,
[2273.2s - 2274.6s]  посмотрите, как она упростилась.
[2275.7s - 2277.0s]  Но это простенько.
[2277.5s - 2280.1s]  А теперь давайте посмотрим более по сложности.
[2280.4s - 2300.9s]  Важнее задача, то есть нам теперь также нужно исходную задачу привести к стандарту формы записи линейного программирования. Задача стремиться к минимуму, и у нас здесь с вами есть и неравенство, и равенство. На все целевые, вернее, на все переменные наложена неотрицательность.
[2300.9s - 2318.8s]  Значит, что мы с вами первое делаем? Мы с вами, как один из вариантов, первое, мы решаем методом Гаусса, систему ограничений равенства. Это первая, вторая лекция по высшей математике у нас с вами.
[2319.0s - 2330.8s]  И вот исполученный как раз-таки процесс по методу Гаусса, он у нас с вами состоит из двух этапов. Первый этап, мы его называем прямой, то есть когда система у нас...
[2330.9s - 2345.0s]  ...сводится к так называемому треугольному виду, да, ну, ступенчатый. И на втором этапе это обратный ход, то есть мы идем последовательно, определяем неизвестный как раз из этой ступенчатой нашей системы.
[2345.0s - 2360.1s]  И вот как раз исполученные вот этой вот системы, исполученные трапециевидной формы системы, последовательно будем выражать какие перемены? 2, 5, 1, через 3, 4.
[2360.9s - 2382.3s]  Это у нас уже будет с вами обратный ход Гаусса. Выражаем, упрощаем, вот здесь вот есть у вас, показано. Дальше. Подставляем те полученные выражения в целевую функцию, которые были представлены на слайде 25, целевую функцию.
[2382.3s - 2390.9s]  Также упрощаем. И посмотрите, какая была изначально задача огромная, да, сколько было перемен.
[2390.9s - 2407.0s]  И в какую простую она задача превратилась. Эти задачи мы уже с вами можем решать, вот, находить. И мы как раз и будем с такими с вами сталкиваться.
[2407.1s - 2420.0s]  Вот, пожалуйста, первая как бы часть лекции, что я вам хотела рассказать. То есть нам нужно с вами еще раз для себя уяснить, что существует...
[2420.9s - 2441.3s]  У нас с вами три формы. Во-первых, задача линейного программирования у нас с вами состоит обязательно из целевой функции. Целевая функция обычно обозначается буковкой F, которая стремится либо к максимуму, либо к минимуму. Вот они у нас с вами есть целевые функции.
[2441.3s - 2450.3s]  Дальше. Второе. Обязательно наложено ограничение. А именно, есть система ограничений.
[2450.9s - 2475.7s]  Которая состоит из линейных уравнений и неравенств. Я подчеркиваю, линейных уравнений и неравенств. И обязательно следующее... Вот оно здесь есть. И обязательно как бы третье условие или требование – это требование неотрицательности переменных. Обязательно вот на это обращайте внимание и смотрите. Это очень важно.
[2475.7s - 2476.9s]  Дальше.
[2480.9s - 2506.7s]  Задача линейного программирования. Мы с вами рассмотрели три формы записи. У вас будет практика по данной лекции. Поэтому внимательно слушайте и смотрите. Три формы записи. Есть каноническая форма. Ну, основная, но обычно говорят каноническая. Стандартная, симметрическая, но часто говорят стандартная. И общая.
[2506.7s - 2509.6s]  Нужно только выучить и запомнить.
[2510.9s - 2533.7s]  Стандартная форма – это чисто только уравнение. То есть ограничения состоят только из уравнений, с которыми как раз-таки мы можем с вами и работать. Дальше. Стандартная форма – это когда только неравенство. Она достаточно тоже простая, как вы видели. И общая форма записи, она считается немножко сложной. Это уравнение и неравенство.
[2534.2s - 2540.5s]  Дальше. Мы с вами можем работать, привыкли работать с канонической формой записи.
[2540.9s - 2560.4s]  То есть с уравнениями. И они нам нужны будут с вами на следующей лекции. Поэтому стандартную форму записи, общую форму записи мы можем всегда что с вами сделать? Свести к каноническому виду. Используя только четыре правила.
[2560.4s - 2563.1s]  Только четыре правила. Еще раз.
[2570.9s - 2584.6s]  Первое. Значит, мы с вами вводим дополнительную неотрицательную переменную со знаком плюс. Если же знак будет наоборот, то есть левая часть будет правой, то мы вводим новую переменную со знаком минус.
[2586.4s - 2598.7s]  Дальше. Нам нужно потом с вами это для того, чтобы уравнять переменные. Они уравнивающие, так называемые переменные.
[2598.8s - 2599.9s]  Вот.
[2600.9s - 2609.7s]  Они нужны для того, чтобы перейти от неравенства к равенству. Потому что мы, я вам сказала, мы можем работать с равенствами.
[2610.9s - 2623.9s]  Дальше. Следующее правило. Это когда у нас, мы уж с вами видели, если в нашей исходной задаче, которая дана, нет условия, какая-то переменная не подчинена условию неотрицательности.
[2623.9s - 2629.4s]  То есть, например, там х1 меньше либо равно нулю. Такого не бывает.
[2630.2s - 2630.2s]  Да.
[2630.2s - 2643.2s]  Поэтому мы всегда что с вами делаем? Мы ее заменяем просто разностью неотрицательных переменных. То есть целевой функцией во всех ограничениях. Разностью вот этой переменной.
[2644.2s - 2658.4s]  В примерах вы это видели. Дальше. Мы, как говорят, красивая запись, да, правильная запись. Это с левой части должна быть всегда, как бы правая часть должна быть положительная.
[2658.4s - 2659.4s]  Вот.
[2660.2s - 2673.2s]  Поэтому в ограничениях, если правая часть у нас с вами отрицательная, как было вот в примерах, то мы что просто берем и это уравнение умножаем на минус один. Все, все очень просто меняется.
[2673.6s - 2687.0s]  Ну и последнее. Если наша вот исходная задача как раз таки была на минимум, а нам удобнее работать всегда на максимум, да, то мы с вами вводим новую целевую функцию.
[2687.0s - 2690.0s]  Пожалуйста, если вы вводите новую целевую функцию.
[2690.2s - 2704.3s]  То ее обозначает обычно либо f штрих, то есть новая функция появилась, f штрих, либо какой-то другой обозначает буквой. То есть если вы пишете одну и ту же букву, это считается грубейшей ошибкой.
[2704.7s - 2719.3s]  Вот. То есть мы должны с вами запомнить, что мы с вами можем переходить от одной формы к другой. Ну и у вас тоже это будет на практике, что, конечно, сложнее так немножко переходить.
[2720.2s - 2746.2s]  К стандартной форме. За счет того, что если у вас, давайте еще раз этот пример рассмотрим и сделаем перерыв. Если у вас в исходной задаче даны и равенство, и неравенство, то, конечно, ее решать методом Гаусса. То есть ограничение равенства. Вот. И сводить ее к простому виду, который вот у нас был на следующем слайде.
[2746.2s - 2750.2s]  То есть уже получим упрощенную задачу линейного программирования.
[2750.2s - 2776.9s]  Которое будет содержать всего две переменных. Вместо, сколько здесь у нас? Вместо пяти. Будет содержать две переменных. Х3 и Х4. То есть с этим мы уже работать умеем. А дальше можно как рассуждать? Опять перевести это все в равенство. Ну и решать там задачу графическим методом. Это будет наша с вами следующая задача. Давайте сделаем перерыв и дальше продолжим.
[2780.2s - 2810.2s]  Продолжение следует.
[2810.2s - 2840.2s]  Продолжение следует.
[2840.2s - 2870.2s]  Продолжение следует.
[2870.2s - 2900.2s]  Продолжение следует.
[2900.2s - 2930.2s]  Продолжение следует.
[2930.2s - 2960.2s]  Продолжение следует.
[2960.2s - 2990.2s]  Продолжение следует.
[2990.2s - 3020.2s]  Продолжение следует.
[3020.2s - 3050.2s]  Продолжение следует.
[3050.2s - 3080.2s]  Продолжение следует.
[3080.2s - 3110.2s]  Продолжение следует.
[3110.2s - 3140.2s]  Продолжение следует.
[3140.2s - 3170.2s]  Продолжение следует.
[3170.2s - 3200.0s]  Продолжение следует.
[3200.0s - 3230.0s]  Продолжение следует.
[3230.0s - 3260.0s]  Продолжение следует.
[3260.0s - 3289.8s]  Продолжение следует.
[3289.8s - 3319.8s]  Продолжение следует.
[3319.8s - 3349.8s]  Продолжение следует.
[3349.8s - 3350.8s]  Читаем внимательно.
[3351.6s - 3354.9s]  Вначале полностью читаем, а потом уже начинаем рассматривать решение.
[3355.6s - 3363.8s]  Итак, для того, чтобы изготовить два вида деталей, нужно проделать ряд операций на трех машинах.
[3364.8s - 3373.1s]  Время обработки одной детали первого типа на первой машине 11 минут, на второй 7 минут, на третьей 6 минут.
[3373.6s - 3379.1s]  Время обработки одной детали составляет 9, 12, 16 минут на каждой из машин.
[3379.1s - 3388.2s]  В течение месяца машина работает 9,850 минут, вторая 8,150, третья 9,600 минут.
[3388.9s - 3397.7s]  Одна деталь первого типа приносит доход 900 условных единиц, другая и второго типа 1000 условных единиц.
[3398.5s - 3401.9s]  Задаем вопрос, то есть что от нас требуется, да?
[3401.9s - 3408.9s]  Сколько нужно ежемесячно производить деталей каждого типа, чтобы иметь максимальную стоимость?
[3409.1s - 3410.8s]  Какая должна быть общая прибыль?
[3411.6s - 3421.2s]  Итак, прежде чем начинать решать эти задачи, мы должны посмотреть, что у нас с вами будет в качестве х выступать.
[3421.6s - 3426.1s]  В качестве х у нас как раз таки будет с вами выступать количество произведенных деталей.
[3426.9s - 3431.1s]  То есть нам надо всего два вида деталей, потому что речь идет о них.
[3431.1s - 3439.1s]  И раз нам нужно изготовить два вида деталей, то есть х1 и х2, значит, что мы должны сразу сказать?
[3439.1s - 3445.2s]  Что они у нас с вами не отрицательны, потому что минус пять деталей изготовить так мы не говорим и не бывает.
[3446.0s - 3451.3s]  Поэтому мы сразу пишем х1 больше либо равно нулю, х2 больше либо равно нулю.
[3452.1s - 3456.1s]  И дальше мы с вами начинаем записывать систему уравнений.
[3456.8s - 3464.2s]  Значит, первое, о чем здесь говорят, о том, что здесь существует три машины.
[3464.2s - 3468.7s]  Три машины. Значит, у нас с вами будет три уравнения.
[3469.1s - 3470.6s]  Три уравнения, три машины.
[3471.3s - 3478.2s]  Рассматриваем время обработки первого и второго типа на первой машине.
[3478.6s - 3480.1s]  Значит, это первое уравнение.
[3481.1s - 3489.4s]  В первом случае 11 минут, а на второй берет, ну, как бы затрачивает 9.
[3489.8s - 3497.2s]  Пожалуйста, 11 умножить на х1 плюс 9 умножить на х2 равно, смотрим, дальше читаем.
[3497.6s - 3499.1s]  В течение месяца первая машина работает.
[3499.1s - 3506.2s]  9 850. Все, записали. То, что она работает, 850. 9 850.
[3508.6s - 3511.9s]  Дальше время обработки, смотрим детали теперь.
[3512.3s - 3515.8s]  Первый, второго типа уже на второй машине. Значит, идет что?
[3516.2s - 3521.6s]  Второе уравнение. Значит, мы с вами рассматриваем, сколько они занимают времени.
[3522.2s - 3524.6s]  Первая машина 7 минут, вторая 12.
[3524.6s - 3528.6s]  Значит, 7 умножить на х1 плюс 12 умножить.
[3529.1s - 3533.8s]  На х2 равняется 8150. То есть должно составлять.
[3534.1s - 3537.6s]  Все, записали. И рассматриваем дальше следующее.
[3538.2s - 3543.3s]  Третью машину. То есть время обработки уже идет первого и второго типа уже для третьей машины.
[3543.5s - 3546.0s]  Значит, составляем, что? Третье уравнение.
[3546.1s - 3549.8s]  Смотрим опять в условия задачи, сколько минут они затрачивают.
[3550.6s - 3559.0s]  6 минут и 16. Значит, 6 умножить на х1 плюс 16 умножить на х2 равняется 9600.
[3559.1s - 3568.6s]  А дальше нам задают, сколько нужно ежемесячно производить деталей каждого типа, чтобы иметь максимальную общую прибыль.
[3569.0s - 3575.7s]  Все, общая прибыль, она зависит у нас от изготовления х1 и х2 единиц продукции.
[3576.0s - 3577.9s]  Значит, мы можем составить целевую функцию.
[3578.5s - 3580.8s]  Можно написать букву F и смотрим.
[3581.6s - 3585.2s]  Первая приносит доход 900 условных единиц, вторая 1000.
[3585.2s - 3586.5s]  Все и записываем.
[3587.0s - 3588.2s]  900 умножить на х1 плюс...
[3589.1s - 3590.1s]  1000 на х2.
[3590.7s - 3592.0s]  Вот она целевая функция.
[3592.5s - 3599.4s]  И если ее теперь переписать, как мы сегодня с вами рассматривали задачи линейного программирования, вот эта запись.
[3601.1s - 3603.6s]  То есть максимальная прибыль стремится к максимуму.
[3603.8s - 3609.0s]  И вот дана система ограничений с условием неотрицательности переменных.
[3609.8s - 3611.1s]  Вот мы с вами записали.
[3611.2s - 3612.8s]  Вот такая вот интересная задача.
[3613.9s - 3615.8s]  Следующая, вторая задача.
[3617.4s - 3618.8s]  Она немножечко посложнее.
[3619.1s - 3629.1s]  Также нужно составить математическое описание, то есть составить математическую модель следующей задачи.
[3629.6s - 3635.2s]  Оптимальное производство продукции и представить полученную задачу в каноническом виде.
[3636.0s - 3637.2s]  Итак, читаем ее вместе.
[3637.4s - 3645.9s]  Для изготовления каждых из двух продукций А и Б, значит, у нас с вами есть А и Б, две продукции, значит, будут две переменные.
[3646.7s - 3648.1s]  Используется три вида сырья.
[3648.1s - 3649.1s]  Три вида сырья.
[3649.1s - 3650.1s]  Значит, будет что?
[3650.3s - 3651.2s]  Три урангения.
[3651.7s - 3654.0s]  То есть мы уже где-то в своей голове это откладываем.
[3654.4s - 3656.6s]  А дальше пошла конкретика.
[3657.4s - 3663.9s]  Первого вида для изготовления нужно 8 килограмм, второго вида 12, третьего 4 килограмма.
[3664.3s - 3669.6s]  Количество сырья типа Б, то есть 8, 6, 12.
[3670.6s - 3676.3s]  Общее количество сырья первого составляет 2 800, второго 3 600, третьего 3 200.
[3677.0s - 3679.1s]  Единицы приносят продукции А.
[3679.1s - 3682.3s]  Доход 24 000, Б 16 000.
[3682.7s - 3683.9s]  И читаем условия.
[3684.3s - 3691.6s]  Определить максимально возможную прибыль при существующих запасах сырья и используемой технологии производства.
[3692.0s - 3694.7s]  Значит, мы должны и технологию затронуть, и запасы.
[3695.4s - 3697.8s]  Давайте начинаем рассуждать.
[3698.3s - 3699.9s]  Значит, у нас с вами что?
[3700.3s - 3701.9s]  Два типа продукции А и Б.
[3702.1s - 3704.4s]  Значит, Х1, Х2 – это продукция.
[3704.4s - 3709.1s]  Дальше продукции отрицательной не бывает, поэтому мы накладываем с вами ограничения.
[3709.1s - 3712.3s]  И ограничения отрицательности – это то, что больше либо равно нулю.
[3712.7s - 3713.3s]  Положили.
[3713.6s - 3715.1s]  А дальше теперь посмотрите, как рассуждаем.
[3716.4s - 3717.4s]  Рассматриваем сырье.
[3717.6s - 3726.2s]  Первого вида составляет 8 килограмм, и второго составляет 8 килограмм.
[3726.5s - 3728.9s]  Причем расход сырья первого вида, он что?
[3729.3s - 3733.5s]  Не может быть больше имеющихся запасов данного сырья.
[3733.9s - 3736.5s]  Поэтому здесь уже знак, что у нас с вами стоит.
[3736.7s - 3738.2s]  Больше либо равно.
[3738.2s - 3741.6s]  То есть правая часть – 2800 запасов.
[3741.7s - 3750.2s]  У нас с вами должно быть общее количество сырья первого вида больше, чем левая часть.
[3751.4s - 3758.2s]  Дальше расход сырья теперь второго вида составляет 12 килограмм и 6 килограмм.
[3759.0s - 3761.6s]  Причем опять мы делаем поправку.
[3762.1s - 3765.7s]  Расход сырья второго вида, он не может быть что?
[3765.7s - 3767.7s]  Больше имеющихся запасов.
[3768.7s - 3770.5s]  Нет запасов, нет сырья.
[3770.9s - 3777.9s]  Поэтому опять знак, какой у нас с вами стоит, 3600, больше или равно, чем левая наша часть.
[3778.7s - 3781.1s]  И третье сырье с вами рассматриваем.
[3781.2s - 3787.0s]  Расход сырья третьего вида – это 4х1 плюс 12х2 килограмм.
[3787.4s - 3792.2s]  Причем расход сырья третьего вида не может быть больше имеющихся запасов.
[3792.2s - 3796.1s]  То есть 3200 должно быть больше либо равно, чем наша левая часть.
[3796.3s - 3797.2s]  То есть то, что…
[3798.2s - 3799.5s]  Что вот мы с вами записали.
[3800.6s - 3802.9s]  Дальше, как мы с вами рассуждаем?
[3803.2s - 3804.2s]  Мы читаем вывод.
[3804.5s - 3812.6s]  Нам нужно с вами определить возможную прибыль при существующих запасах сырья и используемой технологии производства.
[3813.3s - 3817.7s]  То есть у нас с вами есть единица продукции, да, х1 и х2.
[3818.2s - 3821.4s]  Но мы с вами и видим, что из условий задачи доход.
[3821.4s - 3827.0s]  То есть а приносит для х1 это 24 тысячи, для второго 16 тысяч.
[3827.5s - 3828.1s]  Вот мы с вами.
[3828.2s - 3833.8s]  Мы записываем 24 тысячи умножить на х1 плюс 16 тысяч умножить на х2.
[3834.5s - 3841.1s]  Если это все записать в тех, правильно, в математику, то, что мы сегодня с вами проходили,
[3841.4s - 3843.1s]  то это будет записываться вот так вот.
[3843.7s - 3852.5s]  А дальше у нас есть небольшой комментарий, что потом полученную задачу нужно свести к каноническому виду.
[3853.8s - 3854.8s]  То есть представить ее.
[3854.8s - 3857.3s]  Все, мы это с вами уже проходили.
[3858.2s - 3859.9s]  Что мы можем сказать?
[3860.0s - 3865.0s]  Что наша система уравнений с вами состоит из неравенств.
[3865.1s - 3865.7s]  Это раз.
[3866.1s - 3869.0s]  Дальше правые части у нас с вами что?
[3869.5s - 3870.4s]  Все больше.
[3871.2s - 3878.1s]  Вот поэтому здесь может только одно условие, вернее не условие, а одно правило примениться.
[3878.5s - 3885.0s]  Это когда мы смотрим с вами на знаки и добавляем новые переменные со знаком плюс, либо со знаком минус.
[3885.0s - 3888.0s]  У нас все получились так, что левый...
[3888.2s - 3889.7s]  От правой части больше, чем левая.
[3890.3s - 3894.9s]  И, соответственно, от правой больше, чем левой знак у нас с вами вот такой.
[3895.6s - 3899.6s]  Соответственно, мы добавляем с вами к следующей новой переменной.
[3899.7s - 3907.9s]  Поскольку в системе ограничений у нас было х1 и х2, то новая переменная следующая идет, это х3, х4, х5.
[3908.7s - 3912.9s]  А дальше она уже у нас с вами решается.
[3915.0s - 3917.9s]  Вот то, что я хотела вам...
[3918.2s - 3920.3s]  Сегодня рассказать.
[3920.8s - 3924.2s]  Сейчас мы переходим с вами по ссылочке.
[3924.4s - 3926.6s]  Проверьте, она должна работать.
[3926.9s - 3928.5s]  И проходим небольшой тест.
[3928.5s - 3931.6s]  Как только проходим, можете отключаться.
[3932.2s - 3934.0s]  Всем спасибо за внимание.
[3934.2s - 3938.8s]  На следующей неделе, надеюсь, мы в очном формате с вами увидимся.
[3939.0s - 3940.3s]  Я с вами познакомлюсь.
[3941.6s - 3943.1s]  Всем спасибо.
[3944.2s - 3945.6s]  До свидания.
[3948.2s - 3950.2s]  Вот...
